,id,sentiment_scores,number of reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price,neighbourhood_cleansed
0,2384,0.28184931506849326,73,100.0,10.0,10.0,10.0,10.0,10.0,10.0,$50.00,Hyde Park
1,4505,0.27024745762711877,295,95.0,10.0,10.0,10.0,10.0,8.0,10.0,$140.00,South Lawndale
2,6715,0.2556615384615385,65,89.0,9.0,9.0,9.0,9.0,9.0,9.0,$255.00,Lincoln Park
3,7126,0.28936681222707417,229,91.0,9.0,9.0,10.0,10.0,10.0,9.0,$80.00,West Town
4,9811,0.2697142857142857,14,95.0,9.0,10.0,10.0,10.0,10.0,9.0,$150.00,Lincoln Park
5,10610,0.23071428571428573,21,83.0,8.0,7.0,9.0,9.0,10.0,9.0,$35.00,Hyde Park
6,12068,0.201,7,91.0,9.0,9.0,9.0,9.0,9.0,9.0,$75.00,Near North Side
7,12140,0.238,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,$294.00,Lincoln Park
8,24833,0.21603225806451606,31,84.0,8.0,8.0,8.0,8.0,10.0,8.0,$149.00,Lincoln Park
9,25879,0.24976315789473683,38,84.0,9.0,8.0,8.0,8.0,10.0,8.0,$225.00,Lincoln Park
10,28749,0.26216666666666666,36,88.0,9.0,9.0,9.0,9.0,9.0,9.0,$250.00,Logan Square
11,32346,0.231,1,100.0,,,,,,,$32.00,Irving Park
12,37738,0.3063469387755103,196,100.0,10.0,10.0,10.0,10.0,10.0,10.0,$74.00,Uptown
13,39742,0.3132294617563739,353,93.0,9.0,9.0,10.0,10.0,10.0,10.0,$75.00,Near North Side
14,41422,0.2925384615384615,26,94.0,10.0,10.0,10.0,10.0,9.0,9.0,$70.00,Uptown
15,41425,0.28723076923076923,13,95.0,10.0,9.0,10.0,10.0,8.0,10.0,$70.00,Uptown
16,44020,0.23530769230769225,39,78.0,8.0,8.0,8.0,8.0,9.0,8.0,$199.00,Lincoln Park
17,71930,0.2976388888888889,36,95.0,10.0,9.0,10.0,10.0,10.0,9.0,$69.00,West Town
18,79101,0.2968425196850392,127,96.0,9.0,10.0,10.0,10.0,9.0,9.0,$180.00,Uptown
19,80640,0.3055609756097561,41,97.0,10.0,10.0,10.0,10.0,10.0,10.0,$155.00,Logan Square
20,84042,0.32748148148148165,27,95.0,9.0,9.0,10.0,10.0,9.0,10.0,$59.00,West Town
21,95544,0.31491489361702124,47,97.0,10.0,9.0,10.0,10.0,10.0,9.0,$150.00,Logan Square
22,110705,0.31047058823529405,102,97.0,10.0,10.0,10.0,10.0,9.0,10.0,$99.00,Uptown
23,126280,0.2957319587628866,97,98.0,10.0,9.0,10.0,10.0,9.0,10.0,$48.00,Uptown
24,133262,0.28991304347826086,23,97.0,10.0,10.0,10.0,10.0,10.0,10.0,$65.00,West Town
25,145659,0.2385,4,85.0,10.0,10.0,9.0,8.0,10.0,9.0,$340.00,North Center
26,145690,0.33666666666666667,18,91.0,9.0,10.0,9.0,9.0,10.0,9.0,$475.00,Lincoln Park
27,149873,0.2713986486486487,148,95.0,10.0,10.0,10.0,9.0,8.0,9.0,$197.00,Humboldt Park
28,165952,0.29311904761904756,42,90.0,9.0,9.0,9.0,9.0,9.0,8.0,$225.00,Lake View
29,166667,0.27990909090909094,44,91.0,9.0,9.0,9.0,9.0,10.0,9.0,$105.00,North Center
30,166706,0.23415,20,82.0,9.0,8.0,9.0,8.0,10.0,8.0,$280.00,Lake View
31,172616,0.2947222222222222,54,96.0,9.0,9.0,10.0,10.0,9.0,9.0,$145.00,West Town
32,175511,0.30200000000000005,8,97.0,10.0,10.0,10.0,10.0,8.0,9.0,$77.00,Irving Park
33,184764,0.28752857142857147,140,96.0,10.0,10.0,10.0,10.0,9.0,9.0,$85.00,Portage Park
34,189821,0.3129589041095892,292,99.0,10.0,10.0,10.0,10.0,10.0,10.0,$150.00,Logan Square
35,192652,0.33753719008264477,242,97.0,10.0,10.0,10.0,10.0,10.0,9.0,$65.00,West Town
36,198135,0.2907244897959184,98,98.0,10.0,10.0,10.0,10.0,10.0,10.0,$47.00,North Center
37,199681,0.3019892473118281,93,92.0,9.0,8.0,10.0,10.0,9.0,9.0,$50.00,West Ridge
38,201170,0.2876666666666667,9,95.0,10.0,10.0,10.0,10.0,10.0,9.0,$175.00,Near North Side
39,201996,0.2991111111111111,9,91.0,9.0,9.0,10.0,10.0,10.0,9.0,$175.00,Near North Side
40,202204,0.3502,5,100.0,10.0,10.0,10.0,10.0,10.0,9.0,$460.00,Near North Side
41,204812,0.24677227722772277,101,84.0,9.0,8.0,9.0,9.0,8.0,9.0,$39.00,Douglas
42,207116,0.31501360544217694,147,94.0,9.0,9.0,10.0,10.0,9.0,10.0,$45.00,West Town
43,207218,0.28718644067796606,177,98.0,10.0,10.0,10.0,10.0,9.0,10.0,$102.00,Pullman
44,207351,0.2715333333333333,30,97.0,10.0,10.0,10.0,10.0,9.0,10.0,$75.00,Pullman
45,220660,0.3047499999999999,148,95.0,10.0,9.0,10.0,10.0,9.0,9.0,$45.00,West Town
46,221109,0.2769249999999999,80,97.0,10.0,10.0,10.0,10.0,9.0,9.0,$115.00,West Town
47,225314,0.2972,15,99.0,10.0,10.0,10.0,10.0,10.0,10.0,$75.00,Logan Square
48,228273,0.33558333333333334,12,100.0,10.0,10.0,10.0,10.0,10.0,10.0,$109.00,Lincoln Park
49,229826,0.2812857142857143,35,91.0,9.0,9.0,10.0,9.0,9.0,9.0,$211.00,West Town
50,230836,0.29174999999999995,4,90.0,10.0,9.0,9.0,9.0,9.0,9.0,$125.00,Uptown
51,233500,0.2543448275862069,58,87.0,9.0,9.0,9.0,9.0,8.0,9.0,$44.00,Douglas
52,233528,0.2818191489361702,94,86.0,8.0,9.0,9.0,9.0,8.0,9.0,$40.00,Douglas
53,233933,0.3085663716814159,113,95.0,10.0,10.0,10.0,10.0,9.0,9.0,$55.00,Irving Park
54,234060,0.25750000000000006,58,84.0,8.0,8.0,9.0,9.0,8.0,9.0,$29.00,Douglas
